NUMERO_IDENTIFICACION_FISCAL|RAZON_SOCIAL|COD_CLIENTE|COD_CUENTA|NRO_DOC_FISCAL|FUENTE|SISTEMA|FECHA_EMISION|FECHA_VTO|MONEDA|CHARGE_NET_AMOUNT|CHARGE_IGV_INVOICE|CHARGE_TOTAL_AMOUNT
2064524697|CLIENT_00755|938349331|397562857|S7AA-0068040833|FACTURACION CICLICA|AMDOCS|20260623|2026-07-09|PEN|67.93|12.22|80.15
2040313126|CLIENT_00058|373089521|485148747|S8AA-0007797179|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|26.69|4.81|31.50
2026807327|CLIENT_00677|64288416|896318457|S9AA-0082902206|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|53.33|9.60|62.93
2028858667|CLIENT_00821|87664306|642938857|S9AA-0083174163|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|20.71|3.72|24.43
2028858667|CLIENT_00821|87664306|379148857|S9AA-0083174164|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|20.71|3.72|24.43
2058066767|CLIENT_00743|582149431|403578957|S9AA-0083233988|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|77.06|13.87|90.93
2047900690|CLIENT_00224|726970231|557591557|S9AA-0082749477|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|56.06|10.09|66.15
2015648856|CLIENT_00530|52223795|620789857|S9AA-0082733299|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|105.64|19.03|124.67
2045106571|CLIENT_00547|34818616|650877606|S9AA-0082872490|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|32.39|5.83|38.22
2053805361|CLIENT_00167|39746895|419578406|S9AA-0083296123|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|23.73|4.27|28.00
2045546222|CLIENT_00594|00573795|638904067|S9AA-0082512960|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|71.13|12.80|83.93
2037024710|CLIENT_00800|29790085|913900306|S9AA-0083286380|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|113.90|20.50|134.40
2028858667|CLIENT_00821|87664306|340248857|S9AA-0083174169|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|20.71|3.72|24.43
2091198935|CLIENT_00319|49462906|885498506|S9AA-0083304854|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|48.64|8.76|57.40
2043288258|CLIENT_00956|13550895|003107947|S9AA-0082774113|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|115.38|20.77|136.15
2005150947|CLIENT_00073|15791106|738521506|S9AA-0082939903|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|238.89|43.00|281.89
2074129386|CLIENT_00882|33559616|745718857|S9AA-0082792472|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|71.13|12.80|83.93
2037021331|CLIENT_00121|39706806|604368506|S9AA-0083296441|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|22.55|4.05|26.60
2045771478|CLIENT_00919|53129095|370173857|S9AA-0082809303|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|136.38|24.55|160.93
2028695835|CLIENT_00334|014420021|698221337|S9AA-0082594110|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|65.13|11.73|76.86
2028858667|CLIENT_00821|700649801|596759957|S9AA-0082572251|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|23.43|4.22|27.65
2074129386|CLIENT_00882|88569616|365976606|S9AA-0083254229|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|62.29|11.21|73.50
2051682890|CLIENT_00374|66011906|394819506|S9AA-0083067431|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|12.40|2.23|14.63
2001109147|CLIENT_00012|43224195|276595257|S9AA-0082799929|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|44.20|7.95|52.15
2022543695|CLIENT_00820|272246321|542734957|S9AA-0083123493|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|33.16|5.97|39.13
2079583404|CLIENT_00399|457788421|681996457|S9AA-0082970047|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|47.82|8.60|56.42
2042176157|CLIENT_00570|77251595|032125406|S9AA-0083160169|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|90.71|16.32|107.03
2036631349|CLIENT_00307|289009821|958134057|S9AA-0083206995|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|77.06|13.87|90.93
2060838699|CLIENT_00947|680441621|213708547|S9AA-0083240299|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|41.47|7.46|48.93
2095839381|CLIENT_00231|201758411|797234747|S9AA-0082544908|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|73.86|13.29|87.15
2096711703|CLIENT_00428|581765021|189262437|S9AA-0083230672|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|122.08|21.98|144.06
2028712026|CLIENT_00204|30022516|002026606|S9AA-0082516249|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|438.21|78.88|517.09
2058334645|CLIENT_00540|465713621|203801647|S9AA-0083053774|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|34.58|6.23|40.81
2066685881|CLIENT_00643|50088206|789082506|S9AA-0082549712|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|44.90|8.09|52.99
2031946637|CLIENT_00983|430841331|089539657|S9AA-0082800489|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|20.47|3.68|24.15
2006503400|CLIENT_00037|966673111|751447357|S9AA-0083097245|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|170.67|30.72|201.39
2007367776|CLIENT_00411|53765985|348469306|S9AA-0082803436|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|51.43|9.26|60.69
2013237934|CLIENT_00303|22518216|653521337|S9AA-0082695896|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|71.13|12.80|83.93
2096523728|CLIENT_00797|830413321|863394047|S9AA-0082832614|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|47.40|8.53|55.93
2091691985|CLIENT_00508|77873195|129741406|S9AA-0083159839|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|53.92|9.71|63.63
2076412738|CLIENT_00914|99741685|789189737|S9AA-0083349818|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|50.13|9.02|59.15
2006121666|CLIENT_00662|154096131|359489557|S9AA-0082944793|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|53.33|9.60|62.93
2031981897|CLIENT_00248|752557621|668578647|S9AA-0082994391|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|103.45|18.63|122.08
2005150947|CLIENT_00073|14781106|928521506|S9AA-0082855018|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|80.86|14.55|95.41
2006121666|CLIENT_00662|154096131|508901557|S9AA-0082486112|FACTURACION CICLICA|AMDOCS|20260601|2026-06-17|PEN|53.33|9.60|62.93
2006121666|CLIENT_00662|154096131|811665457|S9AA-0082944593|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|47.99|8.64|56.63
2034895152|CLIENT_00378|60534585|669255306|S9AA-0082557070|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|73.49|13.24|86.73
2045546222|CLIENT_00594|241572321|813833947|S9AA-0082407495|FACTURACION CICLICA|AMDOCS|20260601|2026-06-17|PEN|142.32|25.61|167.93
2032219870|CLIENT_00462|846487901|940692657|S9AA-0082919124|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|100.86|18.14|119.00
2057311015|CLIENT_00341|982413211|001444547|S9AA-0083265809|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|94.86|17.07|111.93
2045776570|CLIENT_00215|08925695|736248457|S9AA-0083190588|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|94.86|17.07|111.93
2057929173|CLIENT_00899|232251311|641460227|S9AA-0082780190|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|163.32|8.32|171.64
2039576863|CLIENT_00191|33969485|830969947|S9AA-0082791173|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|14.00|2.52|16.52
2034958413|CLIENT_00366|77661495|794524406|S9AA-0083160043|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|60.15|10.83|70.98
2060838699|CLIENT_00947|680441621|145349257|S9AA-0083241308|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|41.47|7.46|48.93
2084384500|CLIENT_00932|18794285|268639547|S9AA-0083197942|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|17.79|3.21|21.00
2029459942|CLIENT_00434|670143411|993722637|S9AA-0083154556|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|100.73|18.13|118.86
2037220961|CLIENT_00351|176473121|523999537|S9AA-0083111985|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|42.06|7.57|49.63
2088485339|CLIENT_00716|323244011|578646717|S9AA-0082240529|FACTURACION CICLICA|AMDOCS|20260601|2026-06-17|PEN|39.69|7.14|46.83
2013054362|CLIENT_00790|719773321|036536047|S9AA-0082190701|FACTURACION CICLICA|AMDOCS|20260601|2026-06-17|PEN|43.25|7.78|51.03
2001034891|CLIENT_00812|25776706|184557506|S9AA-0082490313|FACTURACION CICLICA|AMDOCS|20260601|2026-06-17|PEN|102.10|18.37|120.47
2089508889|CLIENT_00786|564509011|189514817|S9AA-0083060023|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|46.21|8.32|54.53
2016722807|CLIENT_00364|64273106|709742957|S9AA-0082902976|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|11.80|2.13|13.93
2006563540|CLIENT_00639|14684316|392571257|S9AA-0082859384|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|41.47|7.46|48.93
2001720617|CLIENT_00817|60420995|160129406|S9AA-0082558003|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|137.68|24.79|162.47
2070083854|CLIENT_00585|36732306|972913506|S9AA-0083041729|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|235.33|42.36|277.69
2096100663|CLIENT_00636|49400406|888284506|S9AA-0083304733|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|50.30|9.06|59.36
2087352121|CLIENT_00062|79390995|426119406|S9AA-0083330097|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|125.71|22.62|148.33
2006459799|CLIENT_00837|22696485|647974306|S9AA-0082692744|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|64.96|11.69|76.65
2074355904|CLIENT_00935|203984621|629993647|S9AA-0082544792|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|43.18|7.78|50.96
2042647818|CLIENT_00266|28064185|533741306|S9AA-0083201610|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|78.25|14.08|92.33
2081136919|CLIENT_00294|40815595|083465406|S9AA-0082523917|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|106.01|19.08|125.09
2006121666|CLIENT_00662|154096131|924404857|S9AA-0082945228|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|53.33|9.60|62.93
2010441811|CLIENT_00839|34610495|721314406|S9AA-0082871568|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|16.55|2.98|19.53
2054854170|CLIENT_00245|76218716|108582957|S9AA-0083081056|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|88.92|16.01|104.93
2092536593|CLIENT_00425|964976321|123152647|S9AA-0083096213|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|65.13|11.73|76.86
2094379951|CLIENT_00780|97904616|481737606|S9AA-0083177964|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|152.40|27.43|179.83
2060838699|CLIENT_00947|680441621|776879257|S9AA-0083241310|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|41.47|7.46|48.93
2045052005|CLIENT_00109|763571211|174787947|S9AA-0083079698|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|19.88|3.57|23.45
2052036896|CLIENT_00239|020106721|899192357|S9AA-0082681339|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|52.14|9.39|61.53
2007644775|CLIENT_00890|68757095|857480406|S9AA-0083236130|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|116.21|20.92|137.13
2074789528|CLIENT_00143|80572906|782449506|S9AA-0082575324|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|116.21|20.92|137.13
2047585517|CLIENT_00754|914343231|860755657|S9AA-0082656456|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|41.47|7.46|48.93
2060838699|CLIENT_00947|680441621|566939257|S9AA-0083241307|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|41.47|7.46|48.93
2002302343|CLIENT_00020|281114021|509180557|S9AA-0083207571|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|41.47|7.46|48.93
2067016446|CLIENT_00306|98911606|581948937|S9AA-0081948607|FACTURACION CICLICA|AMDOCS|20260601|2026-06-17|PEN|74.69|13.44|88.13
2034169414|CLIENT_00863|673895221|139561457|S9AA-0081837875|FACTURACION CICLICA|AMDOCS|20260601|2026-06-17|PEN|47.40|8.53|55.93
2024049593|CLIENT_00909|905887721|592586847|S9AA-0082587462|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|58.67|10.56|69.23
2006444143|CLIENT_00059|72611706|235286506|S9AA-0082744938|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|74.98|13.50|88.48
2073533879|CLIENT_00382|54366285|843962306|S9AA-0082887763|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|50.37|9.07|59.43
2062894104|CLIENT_00158|90856906|155881537|S9AA-0082585994|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|122.02|21.97|143.99
2059791752|CLIENT_00929|75231785|312517857|S9AA-0082996069|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|85.65|15.43|101.08
2042647818|CLIENT_00266|28064185|719519737|S9AA-0083205629|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|18.69|3.36|22.05
1042862786|CLIENT_00787|38392116|173211606|S9AA-0083211678|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|132.83|23.91|156.73
2071395567|CLIENT_00118|491813321|801947067|S9AA-0083310428|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|20.77|3.73|24.50
2006444294|CLIENT_00359|01797306|954073506|S9AA-0082591983|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|119.77|21.56|141.33
2016739447|CLIENT_00734|124841421|379179857|S9AA-0082227496|FACTURACION CICLICA|AMDOCS|20260601|2026-06-17|PEN|53.33|9.60|62.93
2044662368|CLIENT_00741|866009421|231292067|S8AA-0007981343|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|53.33|9.60|62.93
2067392845|CLIENT_00917|62874416|746371067|S9AA-0082741916|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|94.86|17.07|111.93
2058943768|CLIENT_00054|32045595|727955406|S9AA-0082702170|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|78.84|14.19|93.03
2065298423|CLIENT_00377|051299331|722343857|S9AA-0082936676|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|139.11|25.04|164.15
2042647818|CLIENT_00266|28064185|904743157|S9AA-0083207102|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|8.90|1.60|10.50
2046859398|CLIENT_00764|60084616|092066606|S9AA-0082558571|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|23.73|4.27|28.00
2014616173|CLIENT_00793|73449016|683211606|S9AA-0082821440|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|47.40|8.53|55.93
2068789568|CLIENT_00153|94825706|282781957|S9AA-0082928306|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|59.26|10.67|69.93
2042422772|CLIENT_00369|03027706|011187506|S9AA-0082761955|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|32.63|5.87|38.50
2047587904|CLIENT_00534|10429885|107109306|S9AA-0082531890|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|26.64|4.80|31.43
2058413599|CLIENT_00258|383387231|747803657|S9AA-0083216228|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|129.91|23.39|153.30
2048805652|CLIENT_00880|25312706|363707506|S9AA-0082948699|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|113.25|20.38|133.63
2079899808|CLIENT_00269|90834906|119300257|S9AA-0082587909|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|65.13|11.73|76.86
2013054362|CLIENT_00790|719773321|036536047|S9AA-0082637623|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|43.25|7.78|51.03
2019351028|CLIENT_00937|49543006|179417257|S9AA-0083308988|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|26.40|4.75|31.15
2006121666|CLIENT_00662|154096131|324404857|S9AA-0082945227|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|53.33|9.60|62.93
2028858667|CLIENT_00821|87664306|786348857|S9AA-0083174171|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|20.71|3.72|24.43
2013392711|CLIENT_00135|92388716|062288606|S9AA-0082753773|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|99.60|17.93|117.53
2028858667|CLIENT_00821|87664306|961448857|S9AA-0083174173|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|20.71|3.72|24.43
2029762900|CLIENT_00838|557615821|172961957|S9AA-0082979275|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|100.79|18.14|118.93
2037021331|CLIENT_00121|07865806|414368506|S9AA-0083101292|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|16.55|2.98|19.53
2062185872|CLIENT_00774|913599321|048944447|S9AA-0082654893|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|58.08|10.45|68.53
2050348529|CLIENT_00770|96289595|106306406|S9AA-0083092479|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|78.84|14.19|93.03
2005150947|CLIENT_00073|44741106|548521506|S9AA-0082880436|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|50.31|9.05|59.36
2064475821|CLIENT_00583|35777616|254046606|S9AA-0082957405|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|53.33|9.60|62.93
2031830857|CLIENT_00959|149869031|118805357|S9AA-0082859508|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|109.63|19.73|129.36
2006459799|CLIENT_00837|22696485|744180937|S9AA-0082696512|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|57.19|10.29|67.48
2009784756|CLIENT_00094|623989711|172639657|S9AA-0082741172|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|17.74|3.19|20.93
2078299854|CLIENT_00460|03160295|627412406|S9AA-0082761240|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|47.40|8.53|55.93
2037757541|CLIENT_00199|43669685|809287957|S9AA-0082340037|FACTURACION CICLICA|AMDOCS|20260601|2026-06-17|PEN|85.65|15.43|101.08
2010945037|CLIENT_00252|95990595|683715406|S9AA-0081668763|FACTURACION CICLICA|AMDOCS|20260601|2026-06-17|PEN|106.01|19.08|125.09
2074915485|CLIENT_00372|642452221|040421837|S9AA-0082449506|FACTURACION CICLICA|AMDOCS|20260601|2026-06-17|PEN|128.08|23.05|151.13
2050836779|CLIENT_00070|702465221|263158937|S9AA-0082569413|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|115.26|20.75|136.01
2071395567|CLIENT_00118|491813321|469627067|S9AA-0083310404|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|65.19|11.74|76.93
2045546222|CLIENT_00594|241572321|813833947|S9AA-0082867413|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|142.32|25.61|167.93
2088855451|CLIENT_00667|870732221|781360837|S9AA-0083171505|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|106.48|19.17|125.65
2067392845|CLIENT_00917|62874416|429371067|S9AA-0082741917|FACTURACION CICLICA|AMDOCS|20260701|2026-07-17|PEN|94.86|17.07|111.93
