SEGMENTO_PAIS|NUMERO_IDENTIFICACION_FISCAL|RAZON_SOCIAL|COD_CLIENTE|COD_CUENTA|CICLO|FECHAALTA|STATUS_DESC|LN_PLAN_DESC|LN_SUBSCRIBER_STATUS_DESC|INT_PLAN_DESC|INT_ORIGINAL_ACTIVATION_DATE|TV_PLAN_DESC|TV_ORIGINAL_ACTIVATION_DATE|TV_TECNOLOGIA|TV_SERVICE_TECHNOLOGY|TV_SUBSCRIBER_STATUS_DESC|SUB_MAIN_OFFER_DESC|INT_SUBSCRIBER_STATUS_DESC|SUB_MAIN_OFFER_TRIODUO|ES_MOVISTARTOTAL|DESCUENTO_PROMOCION_PRODUCTO_DESC|DECOS_CANTIDAD
SEGMENTO_004|2014579954|CLIENT_00512|88973795|690447406|31|1984-05-10 00:00:00|Active|MOVISTAR VOZ DUO|Active|||TV ESTANDAR D|2021-09-12 00:00:00|HFC|CATV|Collection Suspension ( Subscr|Dúo Plano Local Estándar HD PSTN||Duos CATV|0|Fideliza Porc TV 95% x 6 Meses, Fideliza Porc Voz 95% x 6 Meses|4
SEGMENTO_002|2078929230|CLIENT_00522|13280606|892626506|31|2002-03-15 00:00:00|Active|Q51 LINEA PREMIUM C|Active||||||||LN. PLANA LOCAL||MonoLn|0||
SEGMENTO_004|2012285306|CLIENT_00349|608231121|449069737|23|2023-03-21 00:00:00|Active|||MOV INTERNET CAB RA 22|2023-03-21 12:24:49||||||Internet Movistar RA D22|Active|MonoInt|0||
SEGMENTO_004|2003660112|CLIENT_00090|215219121|983032737|15|2023-02-20 00:00:00|Active|||MOV INTERNET CAB RA 22|2023-02-20 12:45:58||||||Internet Movistar RA D22|Active|MonoInt|0||
SEGMENTO_001|2026242865|CLIENT_00930|51123506|884726506|31|2013-04-04 00:00:00|Active|Línea Speedy WAN 2 - 27.95|Active|Speedy WAN Internet B|2013-04-04 00:00:00||||||Línea Speedy WAN 2 - 27.95|Active|Duos BA|0||
SEGMENTO_004|2053276369|CLIENT_00932|79794575|894135963|5|2013-03-20 00:00:00|Active|MOVISTAR VOZ DUO|Active|MOVISTAR INTERNET DÚO|2018-05-21 00:00:00||||||Dúo Plano Local Internet|Active|Duos BA|0||
SEGMENTO_004|2045782704|CLIENT_00628|45598206|981103506|17|2020-06-01 00:00:00|Active|||MOV INTERNET CAD DUO RA S23|2020-06-01 00:00:00|TV ESTANDAR HD DUO S23|2020-06-01 00:00:00|FTTH|CATV|Active|Duo Internet Estandar HD RA S23|Active|Duos TV BA|0||2
SEGMENTO_004|2051502270|CLIENT_00832|93565295|381862406|31|1995-07-01 00:00:00|Active|MOVISTAR VOZ DUO|Active|MOVISTAR INTERNET DÚO|2019-08-12 00:00:00||||||Dúo Plano Local Internet|Active|Duos BA|0||
SEGMENTO_004|2061505168|CLIENT_00879|35089885|129609306|17|2021-08-16 00:00:00|Active|||MOV INTERNET CAB RA 22|2021-08-16 00:00:00||||||Internet Movistar RA D22|Active|MonoInt|0||
SEGMENTO_001|2026242865|CLIENT_00930|73343506|295726506|31|2019-07-16 00:00:00|Active||||2019-07-16 00:00:00||||||080X|Active|MonoInt|0||
SEGMENTO_004|2094607578|CLIENT_00434|145545121|439397737|31|2023-03-15 00:00:00|Active|MOVISTAR VOZ DMU|Active|MOV INTERNET DUO RA 22|2023-03-15 14:18:23||||||Dúo Movistar Voz Internet RA D22|Active|Duos BA|0|Fide Prom Internet S/40 x 12 Meses|
SEGMENTO_004|2094098136|CLIENT_00955|61239116|664412606|31|2019-07-22 00:00:00|Active|MOVISTAR VOZ DUO|Active|MOVISTAR INTERNET DÚO|2019-07-22 00:00:00||||||Dúo Plano Local Internet|Active|Duos BA|0|Fideliza Porc Internet 95% x 6 Meses, Fideliza Porc Voz 95% x 6 Meses|
SEGMENTO_004|2061497280|CLIENT_00329|535599421|884410447|5|2024-01-17 00:00:00|Active|||MOV INTERNET CAB RA S23|2024-01-17 10:49:13||||||Internet Movistar RA S23|Active|MonoInt|0|Descto Plan Internet 50% x 2 ms|
SEGMENTO_004|2078726535|CLIENT_00097|563865911|624093237|31|2022-07-12 00:00:00|Suspended|||MOV INTERNET CAB RA|2022-07-12 12:21:15||||||Internet Movistar RA|Collection Suspension ( Subscr|MonoInt|0||
SEGMENTO_004|2044848650|CLIENT_00187|55310385|834003306|31|2019-07-25 00:00:00|Active|MOVISTAR VOZ DUO|Active|MOVISTAR INTERNET DÚO|2019-07-25 00:00:00||||||Dúo Plano Local Internet|Active|Duos BA|0||
SEGMENTO_004|2007306359|CLIENT_00438|71762285|031722306|17|2011-10-20 00:00:00|Active|MOVISTAR VOZ TRIO|Active|TRIO MOVISTAR INTERNET|2019-11-08 00:00:00|TV ESTANDAR|2019-06-21 00:00:00|HFC|CATV|Active|Trío Plano Local Internet Estándar|Active|Trios CATV|0||2
SEGMENTO_004|2098018480|CLIENT_00702|65940495|006614406|17|2019-08-13 00:00:00|Active|||MOVISTAR SOLO INTERNET|2019-08-13 00:00:00||||||Internet Movistar|Active|MonoInt|0||
SEGMENTO_004|2058571451|CLIENT_00813|047308221|079139447|23|2024-02-22 00:00:00|Active|||MOV INTERNET CAB RA S23|2024-02-22 15:57:07||||||Internet Movistar RA S23|Active|MonoInt|0||
SEGMENTO_002|2078929230|CLIENT_00522|94760606|282626506|31|2011-01-31 00:00:00|Active||||2011-01-31 00:00:00||||||RDSI|Active|MonoInt|0||
SEGMENTO_004|2096049962|CLIENT_01000|794131221|536587937|31|2023-06-17 00:00:00|Active|||MOV INTERNET CAB RA 22|2023-06-17 12:57:40||||||Internet Movistar RA D22|Active|MonoInt|0||
SEGMENTO_004|2076815007|CLIENT_00152|761492421|846374247|23|2023-10-24 00:00:00|Active|MOVISTAR VOZ TMU S23|Active|MOV INTERNET CAF RA S23|2023-10-24 12:30:23|TV ESTANDAR HD A S23|2023-10-24 12:30:16|HFC|CATV|Active|Trio Mov. Voz Int. Estandar HD RA S23|Active|Trios CATV|0|Descto Plan Internet 50% x 2 mes, Descto Plan TV 50% x 2 mes, Descto Plan Voz 50% x 2 mes, Fideliza Porc Internet 50% x 6 Meses, Fideliza Porc TV 50% x 6 Meses, Fideliza Porc Voz 50% x 6 Meses|2
SEGMENTO_004|2099090721|CLIENT_00528|98228985|563299306|17|2021-09-04 00:00:00|Active|||MOVISTAR DUO INTERNET A|2021-09-04 00:00:00|TV ESTANDAR HD|2021-09-04 00:00:00|HFC|CATV|Active|Dúo Internet TV Estándar HD|Active|Duos TV BA|0||2
SEGMENTO_001|2026242865|CLIENT_00930|03033506|675726506|31|2020-02-07 00:00:00|Active||||2020-02-07 00:00:00||||||SIP TRUNK|Active|MonoInt|0||
SEGMENTO_002|2023381522|CLIENT_00756|03530816|394045837|31|2023-04-14 00:00:00|Active|||MOV INTERNET CAB RA 22|2023-04-14 17:10:53||||||Internet Movistar RA D22|Active|MonoInt|0||
SEGMENTO_004|2048046441|CLIENT_00064|29265706|779247506|31|2002-09-09 00:00:00|Active|MOVISTAR VOZ TRIO|Active|MOVISTAR INTERNET TRÍO|2021-07-01 00:00:00|TV ESTANDAR|2021-07-01 00:00:00|HFC|CATV|Active|Trío Plano Local Internet Estándar HD|Active|Trios CATV|0|Descuento IPJUL23 EXO TV S/10.00 x 12m|3
SEGMENTO_004|1042311948|CLIENT_00722|56149806|951219506|31|1999-06-14 00:00:00|Active||||1999-06-14 00:00:00||||||Troncal|Active|MonoInt|0||
SEGMENTO_004|2017146912|CLIENT_00882|33559616|175976606|31|1996-09-30 00:00:00|Active|MOVISTAR VOZ DUO LOCAL|Active|MOVISTAR INTERNET DUO LOCAL|2021-12-30 00:00:00||||||Dúo Voz Plano Local Internet|Active|Duos BA|0||
SEGMENTO_004|2078726535|CLIENT_00097|29448216|396782606|17|2021-05-04 00:00:00|Suspended|||MOVISTAR SOLO INTERNET|2021-05-04 00:00:00||||||Internet Movistar|Collection Suspension ( Subscr|MonoInt|0||
SEGMENTO_004|2042761198|CLIENT_00731|82013506|766325506|17|2021-12-13 00:00:00|Suspended|||MOVISTAR SOLO INTERNET|2021-12-13 00:00:00||||||Internet Movistar|Suspended|MonoInt|0||
SEGMENTO_004|2047556447|CLIENT_00117|59154506|981155506|31|2009-08-27 00:00:00|Active|MOVISTAR VOZ DUO LOCAL|Active|MOVISTAR INTERNET DUO LOCAL|2017-11-15 00:00:00||||||Dúo Voz Plano Local Internet|Active|Duos BA|0||
SEGMENTO_002|2020052100|CLIENT_00534|10429885|107109306|31|2006-03-28 00:00:00|Active|Q51 LINEA PREMIUM B|Active||||||||LN. SEMIPLANA LIBRE||MonoLn|0||
SEGMENTO_004|2033213127|CLIENT_00483|21396716|047368606|17|2008-03-06 00:00:00|Suspended|MOVISTAR VOZ DUO LOCAL|Collection Suspension ( Subscr|MOVISTAR INTERNET DUO LOCAL|2022-02-16 00:00:00||||||Dúo Voz Plano Local Internet|Collection Suspension ( Subscr|Duos BA|0||
SEGMENTO_002|2023381522|CLIENT_00756|03530816|398698606|31|2014-01-29 00:00:00|Active|MOVISTAR VOZ DUO|Active|MOVISTAR INTERNET DUO ADSL|2021-12-07 00:00:00||||||Dúo Voz Plano Local Internet ADSL|Active|Duos BA|0|AJUSTE FID S/15 ILIM|
SEGMENTO_003|2074885080|CLIENT_00308|88010006|024699406|31|1998-03-10 00:00:00|Suspended|Q51 LINEA PREMIUM B|Collection Suspension ( Subscr||||||||LN. SEMIPLANA LIBRE||MonoLn|0||
SEGMENTO_004|1042311948|CLIENT_00722|22098116|878781606|31|2005-10-09 00:00:00|Active|MOVISTAR VOZ CONTROL A|Active|||TV ESTANDAR DUO TV B|2013-07-02 00:00:00|HFC|CATV|Active|Dúo Control Estándar A||Duos CATV|0||3
SEGMENTO_004|2096049962|CLIENT_01000|794131221|500487937|31|2023-06-15 00:00:00|Active|||MOV INTERNET CAB RA 22|2023-06-15 17:57:06||||||Internet Movistar RA D22|Active|MonoInt|0||
SEGMENTO_004|2062557489|CLIENT_00942|659474221|739516837|17|2023-04-21 00:00:00|Active|||MOV INTERNET CAD DUO RA 22|2023-04-21 12:18:35|TV ESTANDAR HD DUO|2023-04-21 12:18:34|HFC|CATV|Active|Dúo Internet Estándar HD RA D22|Active|Duos TV BA|0||2
SEGMENTO_004|2093804116|CLIENT_00577|76921016|323588147|31|2023-09-27 00:00:00|Active|MOVISTAR VOZ DMU M23|Active|MOV INTERNET DUO RA M23|2023-09-27 15:17:06||||||Dúo Movistar Voz Internet RA M23|Active|Duos BA|0||
SEGMENTO_004|2050364733|CLIENT_00579|52112216|827423606|17|2022-04-04 00:00:00|Active|||MOV INTERNET CAB RA|2022-04-04 00:00:00||||||Internet Movistar RA|Active|MonoInt|0||
SEGMENTO_004|2063005127|CLIENT_00354|84063185|476431306|17|2015-10-07 00:00:00|Active|MOVISTAR VOZ DUO|Active|MOVISTAR INTERNET DÚO|2020-06-18 00:00:00||||||Dúo Plano Local Internet|Active|Duos BA|0||
SEGMENTO_004|2025650857|CLIENT_00466|12076085|243960306|31|2017-03-22 00:00:00|Active|MOVISTAR VOZ TRÍO B|Active|TRIO MOVISTAR INTERNET D|2017-06-05 00:00:00|TV ESTANDAR HD|2017-03-22 00:00:00|HFC|CATV|Active|Trío Voz Internet Estándar HD|Active|Trios CATV|0|AJUSTE FID S/5.11 ILIM|2
SEGMENTO_004|2012162297|CLIENT_00079|22421195|898221406|17|2018-11-12 00:00:00|Active|MOVISTAR VOZ DMU|Active|MOV INTERNET DUO RA|2019-07-25 00:00:00||||||Dúo Movistar Voz Internet RA|Active|Duos BA|0||
SEGMENTO_001|2026242865|CLIENT_00930|99023506|846726506|31|2008-04-30 00:00:00|Active||||2008-04-30 00:00:00||||||RDSI|Active|MonoInt|0||
SEGMENTO_004|2061989491|CLIENT_00986|38443785|347547306|31|2021-08-19 00:00:00|Active|||MOV INTERNET CAB RA S23|2021-08-19 00:00:00||||||Internet Movistar RA S23|Active|MonoInt|0||
SEGMENTO_004|2081744801|CLIENT_00542|958957121|204689637|31|2023-02-03 00:00:00|Active|||MOV INTERNET CAB RA 22|2023-02-03 13:28:22||||||Internet Movistar RA D22|Active|MonoInt|0||
SEGMENTO_004|2010229419|CLIENT_00940|77358185|871086937|17|2023-06-07 00:00:00|Active|||MOV INTERNET CAB RA 22|2023-06-07 17:58:58||||||Internet Movistar RA D22|Active|MonoInt|0||
SEGMENTO_004|2033411826|CLIENT_00583|35777616|254046606|31|2021-04-21 00:00:00|Active|MOVISTAR VOZ DUO|Active|MOVISTAR INTERNET DÚO|2021-04-21 00:00:00||||||Dúo Plano Local Internet|Active|Duos BA|0||
SEGMENTO_004|2075370034|CLIENT_00145|097589811|331699137|23|2022-06-25 00:00:00|Active|||MOV INTERNET CAB RA|2022-06-25 15:06:33||||||Internet Movistar RA|Active|MonoInt|0||
SEGMENTO_004|2037039972|CLIENT_00968|056068111|605125447|31|2024-02-02 00:00:00|Active|MOVISTAR VOZ DMU S23|Active|MOV INTERNET DUO RA S23|2024-02-02 20:38:08||||||Duo Movistar Voz Internet RA S23|Active|Duos BA|0|Descto Plan Internet 50% x 2 ms, Descto Plan Voz 50% x 2 ms|
SEGMENTO_004|2066717944|CLIENT_00082|88171716|165196606|17|2022-03-03 00:00:00|Active|MOVISTAR VOZ DUO|Active|MOVISTAR INTERNET DÚO|2022-03-03 00:00:00||||||Dúo Plano Local Internet|Active|Duos BA|0||
SEGMENTO_004|2041539406|CLIENT_00077|58309406|761484506|31|2019-12-20 00:00:00|Active|||MOVISTAR DUO INTERNET|2019-12-20 00:00:00|TV ESTANDAR DUO|2019-12-20 00:00:00|HFC|CATV|Active|Dúo Internet Estándar|Active|Duos TV BA|0||2
SEGMENTO_004|2024906192|CLIENT_00412|69231985|026181637|17|2022-12-27 00:00:00|Active|||MOV INTERNET CAB RA 22|2022-12-27 10:23:00||||||Internet Movistar RA D22|Active|MonoInt|0||
SEGMENTO_004|2054297630|CLIENT_00621|24489306|850504506|31|2008-02-27 00:00:00|Active|MOVISTAR VOZ DUO|Active|MOVISTAR INTERNET DÚO|2018-04-25 00:00:00||||||Dúo Plano Local Internet|Active|Duos BA|0||
SEGMENTO_004|2091789509|CLIENT_00886|92995216|483063606|31|2022-05-31 00:00:00|Active|Línea Control|Active||||||||Línea Control VoIP||MonoLn|0||
SEGMENTO_004|2025086317|CLIENT_00367|37642006|478520506|31|1982-09-01 00:00:00|Active|MOVISTAR VOZ DUO SNA C|Active|Speedy Negocios Avanzados Internet C|2011-04-01 00:00:00||||||DUO SPEEDY NEG AVA C|Active|Duos BA|0||
SEGMENTO_004|2082735250|CLIENT_00885|33520195|988111406|31|2016-05-31 00:00:00|Suspended|Línea Control|Collection Suspension ( Subscr||||||||Línea Control VoIP||MonoLn|0||
SEGMENTO_004|2091617136|CLIENT_00837|22696485|647974306|31|2009-01-12 00:00:00|Active|MOVISTAR VOZ DUO|Active|MOVISTAR INTERNET DÚO|2020-09-07 00:00:00||||||Dúo Plano Local Internet|Active|Duos BA|0||
SEGMENTO_004|2082130032|CLIENT_00923|646582711|903352937|31|2023-05-18 00:00:00|Suspended|||MOV INTERNET CAB RA 22|2023-05-18 11:13:08||||||Internet Movistar RA D22|Collection Suspension ( Subscr|MonoInt|0|Descuento Prom Internet S/40 x 2m|
SEGMENTO_004|2010231031|CLIENT_00392|03511006|744310506|17|2020-01-13 00:00:00|Active|||MOVISTAR DUO INTERNET HD|2020-07-18 00:00:00|TV ESTANDAR DUO|2020-07-18 00:00:00|HFC|CATV|Active|Dúo Internet Estándar HD|Active|Duos TV BA|0||4
SEGMENTO_003|2074885080|CLIENT_00308|09099995|064699406|31|1996-08-08 00:00:00|Suspended|MOVISTAR VOZ DUO SNA|Collection Suspension ( Subscr|Speedy Negocios Avanzados Internet II|2009-02-07 00:00:00||||||DUO SPEEDY NEG AVA|Collection Suspension ( Subscr|Duos BA|0||
SEGMENTO_004|2000279692|CLIENT_00168|00612575|122081247|5|2023-10-13 00:00:00|Active|MOVISTAR VOZ TMU M23|Active|MOV INTERNET CAF RA M23|2023-10-13 13:09:29|TV ESTANDAR HD A M23|2023-10-13 13:09:34|FTTH|CATV|Active|Trío Mov. Voz Int. Estandar HD RA M23|Active|Trios CATV|0||2
SEGMENTO_004|2030716976|CLIENT_00848|06261095|650720406|17|1979-07-27 00:00:00|Active|MOVISTAR VOZ DUO|Active|MOVISTAR INTERNET DÚO|2019-12-14 00:00:00||||||Dúo Plano Local Internet|Active|Duos BA|0||
SEGMENTO_004|2094098136|CLIENT_00955|27159116|814412606|31|2019-07-23 00:00:00|Active|||MOVISTAR SOLO INTERNET|2019-07-23 00:00:00||||||Internet Movistar|Active|MonoInt|0|Fideliza Porc Internet 95% x 6 Meses|
SEGMENTO_004|2059725559|CLIENT_00880|74452706|724707506|31|1994-12-27 00:00:00|Suspended|Q51 LINEA PREMIUM B|Collection Suspension ( Subscr||||||||LN. SEMIPLANA LIBRE||MonoLn|0||
SEGMENTO_004|2085588833|CLIENT_00578|67596985|615979306|17|2021-04-07 00:00:00|Active|MOVISTAR VOZ TRÍO B|Active|TRIO MOVISTAR INTERNET D|2021-04-07 00:00:00|TV ESTANDAR HD|2021-04-07 00:00:00|HFC|CATV|Active|Trío Voz Internet Estándar HD|Active|Trios CATV|0||2
SEGMENTO_004|2088717616|CLIENT_00246|748464021|329442937|23|2023-05-18 00:00:00|Active|||MOV INTERNET CAD DUO RA 22|2023-05-18 12:45:45|TV ESTANDAR HD DUO|2023-05-18 12:45:44|HFC|CATV|Active|Dúo Internet Estándar HD RA D22|Active|Duos TV BA|0|Fide Prom Internet S/40 x 12 Meses|2
SEGMENTO_004|2092890011|CLIENT_00062|79390995|426119406|31|1991-06-07 00:00:00|Active|MOVISTAR VOZ DUO|Active|MOVISTAR INTERNET DUO ADSL|2021-08-01 00:00:00||||||Dúo Voz Plano Local Internet ADSL|Active|Duos BA|0||
SEGMENTO_004|2078299854|CLIENT_00460|03160295|627412406|31|2020-10-28 00:00:00|Active|||MOVISTAR SOLO INTERNET|2021-12-23 00:00:00||||||Internet Movistar|Active|MonoInt|0|Fideliza Porc Internet 50% x 6 Meses|
SEGMENTO_002|2042422772|CLIENT_00369|86640595|770715406|31|2006-05-11 00:00:00|Active|||||TV ESTANDAR DIGITAL CMS|2006-05-11 00:00:00|HFC|CATV|Active|TV ESTANDAR DIGITAL||MonoTv|0||2
