SEGMENTO_PAIS|NUMERO_IDENTIFICACION_FISCAL|RAZON_SOCIAL|COD_CLIENTE|COD_CUENTA|FLAG_STAFF|PRODUCTO|FECHA_ALTA|ESTADO_LINEA|ESTADO_TELEFONO_RAZON|TIPO_LINEA|PRODUCT_DESC|PLAN_PRINCIPAL|CANT_PROMOCIONES|PROM_DSCTO|PLAN_ROAMING_DATOS|Fecha_Inicio_Permanencia|Fecha_Fin_Permanencia|Meses_Permanencia
SEGMENTO_004|2053911269|CLIENT_00373|775403901|002929547|N|Movil Abierto|09/04/2024|Activo|Cobranza Manual con Cargo|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/ 69.9 IV|||Activación MB Internacionales|16/02/2025|15/02/2026|12
SEGMENTO_004|2074423060|CLIENT_00504|557185231|456821657|N|Movil Abierto|30/08/2005|Activo|Cambio de Titularidad APC|Equipo|Abierto Elige Todo Emp RD|Plan Elige Todo+ S/ 77.90|2|Descuento de 20% al plan x 12 meses||27/05/2026||
SEGMENTO_004|2038993702|CLIENT_00732|908895821|457589947|N|Movil Abierto|21/10/2024|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/32|1|Ajuste IP de S/2 x18m RO N°224-2023 B2B |Activación MB Internacionales|21/10/2024|20/10/2025|12
SEGMENTO_004|2088342501|CLIENT_00581|171923611|616390727|N|Movil Abierto|22/10/2021|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|Ilimitado Mi Movistar E S/77.9|1|Descuento de 20% al plan x 12 meses|Activación MB Internacionales|26/05/2026||
SEGMENTO_004|2070148979|CLIENT_00202|499743311|678194227|N|Movil Abierto|02/03/2021|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/52.9|||Activación MB Internacionales|10/11/2025|09/11/2026|12
SEGMENTO_004|2066260318|CLIENT_00101|638249611|470724827|N|Movil Abierto|27/12/2021|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Mi Movistar Empresas S/ 37.9_IV|||Activación MB Internacionales|14/07/2023|13/01/2024|6
SEGMENTO_004|2066260318|CLIENT_00101|761871711|750514047|N|Movil Abierto|14/07/2023|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/32|1|Descuento de 20% al plan x 12 meses|Activación MB Internacionales|26/05/2026||
SEGMENTO_004|2001605530|CLIENT_00869|19017575|875082503|N|Movil Abierto|24/08/2004|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Plan Elige Todo+ S/ 45.90|1|Descuento de 20% al plan x 12 meses||27/05/2026||
SEGMENTO_004|2001605530|CLIENT_00869|19017575|526082503|N|Movil Abierto|24/08/2004|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Plan Elige Todo+ S/ 45.90|1|Descuento de 20% al plan x 12 meses||27/05/2026||
SEGMENTO_004|2032205889|CLIENT_00480|554573421|247116247|N|Movil Abierto|29/04/2023|Suspendido|Robo - Equipo y simcard|M4|Abierto Elige Todo Emp RD|Movistar Empresas S/ 45.9 I|2|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|02/02/2026||
SEGMENTO_004|2017592496|CLIENT_00970|65013575|806844293|N|Movil Control|29/12/2016|Activo|Negociación Equipo y/o SimCard|Equipo|Control Planta CORP|Plan Elige más S/ 72.90||||28/08/2018|28/02/2020|18
SEGMENTO_004|2008371952|CLIENT_00582|002854921|627162157|N|Movil Abierto|23/12/2024|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/30 IV|1|Descuento de 50% al plan x 12 meses||26/01/2026||
SEGMENTO_004|2008371952|CLIENT_00582|363035021|840181437|N|Movil Control|26/09/2022|Activo|Pedido de Cliente|Equipo|Control Movistar Libre|RV Plan Mi Movistar S/36.9 IP26|1|Descuento de 20% al plan x 12 meses||23/12/2024|22/12/2025|12
SEGMENTO_004|2027087229|CLIENT_00844|511453121|895159537|N|Movil Abierto|15/12/2022|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Movistar Empresas S/ 34.9 I||||14/12/2022|13/06/2024|18
SEGMENTO_004|2031091013|CLIENT_00196|71934575|783330853|N|Movil Abierto|15/08/2013|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Mi Movistar E S/ 37.9_I||||15/08/2013||
SEGMENTO_004|2046155934|CLIENT_00493|75753575|666913643|N|Movil Abierto|17/05/2012|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|Plan Elige Todo+ S/ 77.90 II||||17/05/2012||
SEGMENTO_004|2066331018|CLIENT_00601|73991575|475838023|N|Movil Abierto|26/05/2008|Activo|Pedido de Cliente|Equipo|Abierto Elige + CORP|Plan Elige más S/ 119.90 I||||10/03/2020||
SEGMENTO_004|2048306935|CLIENT_00452|726703631|730638167|N|Movil Abierto|09/06/2026|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/30 IV|||Activación MB Internacionales|08/06/2026||
SEGMENTO_004|2014332657|CLIENT_00751|723647311|693599227|N|Movil Abierto|19/10/1999|Activo|Cambio de Titularidad APC|Equipo|Abierto Elige Todo Emp RD|Ilimitado Mi Movistar E S/149.9|1|Descuento de 20% al plan x 12 meses|Activación MB Internacionales|27/11/2022|26/05/2024|18
SEGMENTO_004|2049019784|CLIENT_00811|92003575|471659563|N|Movil Abierto|11/06/2014|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|Plan Elige Todo+ S/ 45.90||||04/07/2025||
SEGMENTO_004|2022413606|CLIENT_00407|449549531|006503167|N|Movil Abierto|04/05/2026|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/39.9 IV|||Activación MB Internacionales|03/05/2026||
SEGMENTO_004|2088325879|CLIENT_00287|953144321|959676167|N|Movil Abierto|29/05/2026|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/ 69.9 IV|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|28/05/2026||
SEGMENTO_004|2007950781|CLIENT_00069|46400575|264937833|N|Movil Abierto|11/06/2011|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Mi Movistar Empresas S/ 82.9|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|22/11/2022|21/05/2024|18
SEGMENTO_004|2007950781|CLIENT_00069|46400575|648536703|N|Movil Abierto|08/11/2005|Activo|Negociación Equipo y/o SimCard|Equipo|Abierto Elige Todo Emp RD|Movistar Empresas S/ 62.9 I|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|10/01/2023|09/07/2024|18
SEGMENTO_004|2007950781|CLIENT_00069|46400575|209429993|N|Movil Abierto|12/12/2017|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Movistar Empresas S/ 62.9 I|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|04/01/2024|03/07/2025|18
SEGMENTO_004|2095370945|CLIENT_00679|74084575|745279363|N|Movil Control|27/03/2014|Activo|Pedido de Cliente|Equipo|Control Elige Todo Emp con Roaming|Plan Elige Todo + C S/ 31.9|1|Descuento de 30% al plan x 12 meses|Activación MB Internacionales|18/05/2026||
SEGMENTO_004|2064277467|CLIENT_00871|614056431|830533957|N|Movil Control|23/08/2023|Activo|Cambio de Titularidad APC|M4|Control Movistar Libre|RV Plan Mi Movistar S/20.9 VII|||Activación MB Internacionales|09/02/2026||
SEGMENTO_004|2011902949|CLIENT_00423|219872611|979421037|N|Movil Abierto|25/03/2022|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|Mi Movistar Empresas S/ 45.9 V|||Activación MB Internacionales|18/06/2026||
SEGMENTO_004|2011902949|CLIENT_00423|219872611|715026857|N|Movil Abierto|14/11/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/49.9 IV|||Activación MB Internacionales|12/11/2025||
SEGMENTO_004|2016722807|CLIENT_00364|64273106|709742957|N|Movil Abierto|25/12/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B_movistar Empresas S/.39.9|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|25/03/2026||
SEGMENTO_004|2016722807|CLIENT_00364|64273106|509742957|N|Movil Abierto|25/12/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B_movistar Empresas S/.39.9|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|25/03/2026||
SEGMENTO_004|2016722807|CLIENT_00364|838714921|965311957|N|Movil Abierto|20/12/2025|Activo|Pedido de Cliente|M4|Abierto líneas adicionales B2B|B2B Líneas adicionales S/29.9|1|Bono ilim líneas adicionales V.R.S/ 29.9|Activación MB Internacionales|16/12/2025||
SEGMENTO_004|2016722807|CLIENT_00364|838714921|300241957|N|Movil Abierto|20/12/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/ 69.9 IV|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|25/03/2026||
SEGMENTO_004|2071656712|CLIENT_00163|22415575|022430803|N|Movil Abierto|03/01/2006|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp|Plan Elige Todo + S/ 149.90|1|Descuento de 30% al plan x 12 meses||18/12/2019|17/06/2021|18
SEGMENTO_004|2056897122|CLIENT_00573|217414901|586553157|N|Movil Abierto|28/12/2024|Activo|Cobranza Manual con Cargo|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/30 IV||||28/12/2024|27/12/2025|12
SEGMENTO_004|2019530122|CLIENT_00047|166794121|681582637|N|Movil Abierto|30/12/2022|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/ 69.9 IV|1|Descuento de 30% al plan x 12 meses|Activación MB Internacionales|05/03/2026||
SEGMENTO_004|2057768570|CLIENT_00068|32621575|492061703|N|Movil Control|28/07/2005|Activo|Negociación Equipo y/o SimCard|Equipo|Control Elige Todo Emp con Roaming|Plan Elige Todo + C S/ 77.90|1|Ajuste IP de S/3 x18m RO N°224-2023 B2B |Activación MB Internacionales|30/05/2026|29/05/2027|12
SEGMENTO_004|2042647818|CLIENT_00266|132847821|845381057|N|Movil Abierto|04/11/2024|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/ 72.9|2|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|18/11/2025||
SEGMENTO_004|2042647818|CLIENT_00266|28064185|601803837|N|Movil Abierto|08/02/2023|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|Movistar Empresas S/ 77.9 I|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|30/03/2026||
SEGMENTO_004|2042647818|CLIENT_00266|28064185|719519737|N|Movil Abierto|18/03/2023|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/62.9|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|30/03/2026||
SEGMENTO_004|2042647818|CLIENT_00266|28064185|904743157|N|Movil Abierto|27/12/2024|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/30 IV|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|30/03/2026||
SEGMENTO_004|2042647818|CLIENT_00266|28064185|683340737|N|Movil Abierto|07/02/2023|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|Movistar Empresas S/ 62.9 I|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|30/03/2026||
SEGMENTO_004|2082422571|CLIENT_00010|792078121|510144857|N|Movil Abierto|03/11/2025|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/35.9 IV|||Activación MB Internacionales|03/11/2025|02/05/2027|18
SEGMENTO_004|2082422571|CLIENT_00010|792078121|510144857|N|Movil Abierto|03/11/2025|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Movistar Empresas S/ 66.9|||Activación MB Internacionales|03/11/2025|02/05/2027|18
SEGMENTO_004|2082422571|CLIENT_00010|792078121|510144857|N|Movil Abierto|03/11/2025|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Movistar Empresas S/ 34.9_I|||Activación MB Internacionales|03/11/2025|02/05/2027|18
SEGMENTO_004|2047100108|CLIENT_00873|881290331|741838657|N|Movil Abierto|15/08/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B_movistar Empresas S/.79.9||||13/08/2025||
SEGMENTO_004|2047100108|CLIENT_00873|881290331|741838657|N|Movil Abierto|15/08/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B_movistar Empresas S/.79.9||||13/08/2025||
SEGMENTO_004|2047100108|CLIENT_00873|881290331|741838657|N|Movil Abierto|15/08/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B_movistar Empresas S/.99.9||||13/08/2025||
SEGMENTO_004|2047100108|CLIENT_00873|881290331|741838657|N|Movil Abierto|15/08/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B_movistar Empresas S/.69.9||||13/08/2025||
SEGMENTO_004|2047100108|CLIENT_00873|881290331|741838657|N|Movil Abierto|15/08/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B_movistar Empresas S/.79.9||||13/08/2025||
SEGMENTO_004|2011487576|CLIENT_00046|43763575|399950973|N|Movil Abierto|02/10/2015|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/58.9|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|22/04/2026||
SEGMENTO_004|2011487576|CLIENT_00046|43763575|145111473|N|Movil Abierto|16/04/2015|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/58.9|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|26/01/2026||
SEGMENTO_004|2002866357|CLIENT_00707|95245575|517319873|N|Movil Control|23/09/2015|Activo|Pedido de Cliente|M4|Control Elige Todo Planta C sin Roaming|Plan Control S/ 10.00||||16/09/2022||
SEGMENTO_004|2009784756|CLIENT_00094|623989711|104536927|N|Movil Control|18/07/2020|Activo|Cambio de Titularidad APC|M4|Control Caribu Movistar Libre|RV Plan Ahorro Mi Movistar S/24.9 IV|||Activación MB Internacionales|21/11/2022||
SEGMENTO_002|2096447129|CLIENT_00321|13461575|777122357|N|Movil Control|17/03/2025|Activo|Pedido de Cliente|M4|Caribú Adicionales Libre|RV Plan Ahorro Adicional S/39.9 II|||Activación MB Internacionales|17/03/2025||
SEGMENTO_002|2096447129|CLIENT_00321|93461575|390109501|N|Movil Abierto|26/02/2019|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Mi Movistar Empresas S/ 83.9 II|||Activación MB Internacionales|24/11/2021|23/05/2023|18
SEGMENTO_002|2096447129|CLIENT_00321|93461575|390109501|N|Movil Control|26/02/2019|Activo|Pedido de Cliente|Equipo|Control Elige Todo Emp con Roaming|Plan Elige Todo + C S/ 66.9|1|Ajuste IP de S/3 x18m RO N°224-2023 B2B |Activación MB Internacionales|07/05/2024|06/11/2025|18
SEGMENTO_002|2096447129|CLIENT_00321|93461575|390109501|N|Movil Abierto|26/02/2019|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|Plan Elige Todo+ S/ 56.90|||Activación MB Internacionales|25/12/2023||
SEGMENTO_002|2096447129|CLIENT_00321|93461575|798433963|N|Movil Abierto|17/10/2014|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Plan Elige Todo+ S/ 56.90|||Activación MB Internacionales|19/08/2025||
SEGMENTO_002|2096447129|CLIENT_00321|93461575|297837137|N|Movil Abierto|07/06/2022|Activo|Negociación Equipo y/o SimCard|Equipo|Abierto Elige Todo Emp RD|Movistar Empresas S/ 77.9 I|1|Ajuste IP de S/3 x18m RO N°224-2023 B2B |Activación MB Internacionales|13/01/2026||
SEGMENTO_004|2047100108|CLIENT_00873|881290331|741838657|N|Movil Abierto|15/08/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B_movistar Empresas S/.69.9||||13/08/2025||
SEGMENTO_004|2047100108|CLIENT_00873|881290331|741838657|N|Movil Abierto|15/08/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B_movistar Empresas S/.99.9||||13/08/2025||
SEGMENTO_004|2047100108|CLIENT_00873|881290331|741838657|N|Movil Abierto|15/08/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B_movistar Empresas S/.99.9||||13/08/2025||
SEGMENTO_004|2047100108|CLIENT_00873|881290331|741838657|N|Movil Abierto|15/08/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B_movistar Empresas S/.69.9||||13/08/2025||
SEGMENTO_004|2047100108|CLIENT_00873|881290331|741838657|N|Movil Abierto|15/08/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B_movistar Empresas S/.99.9||||13/08/2025||
SEGMENTO_004|2047100108|CLIENT_00873|881290331|741838657|N|Movil Abierto|15/08/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B_movistar Empresas S/.79.9||||13/08/2025||
SEGMENTO_004|1038544262|CLIENT_00966|03801575|777024503|N|Movil Abierto|06/10/2004|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Mi Movistar Empresas S/ 129.9|1|Descuento de 50% al plan x 12 meses||06/09/2021|05/03/2023|18
SEGMENTO_004|1038544262|CLIENT_00966|03801575|293330473|N|Movil Abierto|15/04/2015|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/49.9 IV|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|26/01/2026||
SEGMENTO_004|2009784756|CLIENT_00094|623989711|172639657|N|Movil Control|23/07/2025|Activo|Cambio de Titularidad APC|M4|Control Movistar Libre|RV Plan Mi Movistar S/29.9 VII|1|Descuento de 20% al plan x 12 meses|Activación MB Internacionales|27/05/2026||
SEGMENTO_002|2096447129|CLIENT_00321|93461575|390109501|N|Movil Abierto|06/09/2024|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/42.9|1|Ajuste IP de S/3 x18m RO N°224-2023 B2B |Activación MB Internacionales|18/02/2025||
SEGMENTO_004|2084279674|CLIENT_00091|904772311|236647067|N|Movil Abierto|27/03/2026|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/ 79.9 IV|1|Descuento de 50% al plan x 12 meses||26/03/2026||
SEGMENTO_004|2084279674|CLIENT_00091|904772311|252552227|N|Movil Abierto|19/02/2021|Activo|Portabilidad solo SIM|M4|Abierto Elige Todo Emp RD|Mi Movistar Empresas S/ 82.9||||26/10/2024||
SEGMENTO_004|2084279674|CLIENT_00091|904772311|252552227|N|Movil Abierto|19/02/2021|Activo|Portabilidad solo SIM|Equipo|Abierto Elige Todo Emp RD|Mi Movistar Empresas S/ 82.9|||Activación MB Internacionales|27/05/2024|26/05/2025|12
SEGMENTO_004|2084279674|CLIENT_00091|904772311|252552227|N|Movil Abierto|19/02/2021|Activo|Portabilidad solo SIM|Equipo|Abierto Elige Todo Emp RD|Mi Movistar Empresas S/ 82.9|||Activación MB Internacionales|17/02/2021|16/08/2022|18
SEGMENTO_004|2047587904|CLIENT_00534|79590575|314006827|N|Movil Abierto|11/01/2022|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Mi Movistar Empresas S/ 52.9_IV|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|03/05/2023|02/11/2024|18
SEGMENTO_004|2068445567|CLIENT_00718|789395911|782351167|N|Movil Abierto|23/04/2026|Activo|Pedido de Cliente|Equipo|Abierto líneas adicionales B2B|B2B Líneas adicionales S/39.9|1|Bono ilim líneas adicionales V.R.S/ 39.9|Activación MB Internacionales|23/04/2026|22/04/2027|12
SEGMENTO_002|2024687919|CLIENT_00136|40231575|951023063|N|Movil Abierto|13/11/2013|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/52.9|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|26/09/2022|25/03/2024|18
